heads,dsl,level,vocabulary_size,fitted_scalars,damage_nats,gain_vs_delete_nats
40,D0_delete,0,0,0,0.2594856023788452,0.0
40,D1_positional,1,18,709,0.08393928408622742,0.1755463182926178
40,D2_structural,2,23,858,0.024164646863937378,0.23532095551490784
40,D3_content,3,25,933,0.024453341960906982,0.23503226041793823
80,D0_delete,0,0,0,0.93753781914711,0.0
80,D1_positional,1,18,1393,0.315993994474411,0.621543824672699
80,D2_structural,2,23,1698,0.1549433171749115,0.7825945019721985
80,D3_content,3,25,1844,0.15307378768920898,0.784464031457901
120,D0_delete,0,0,0,2.0954089164733887,0.0
120,D1_positional,1,18,2079,0.6039307117462158,1.4914782047271729
120,D2_structural,2,23,2537,0.3970736265182495,1.6983352899551392
120,D3_content,3,25,2760,0.39642953872680664,1.698979377746582
160,D0_delete,0,0,0,2.398981213569641,0.0
160,D1_positional,1,18,2777,0.8501681685447693,1.5488130450248718
160,D2_structural,2,23,3385,0.7375971078872681,1.661384105682373
160,D3_content,3,25,3677,0.738722562789917,1.6602586507797241
200,D0_delete,0,0,0,10.358059167861938,0.0
200,D1_positional,1,18,3463,1.2367263436317444,9.121332824230194
200,D2_structural,2,23,4210,1.2464816570281982,9.11157751083374
200,D3_content,3,25,4568,1.2457097172737122,9.112349450588226
256,D0_delete,0,0,0,10.923455595970154,0.0
256,D1_positional,1,18,4445,1.6410865783691406,9.282369017601013
256,D2_structural,2,23,5418,1.614336371421814,9.30911922454834
256,D3_content,3,25,5878,1.626304268836975,9.297151327133179
