surrogate,parameters,damage_nats
full_table,20742144,0.5077826678752899
top_50,307200,0.7422774434089661
top_100,614400,0.7011241018772125
top_200,1228800,0.6634902656078339
top_500,3072000,0.6077695190906525
top_1000,6144000,0.571319967508316
top_2000,12288000,0.5335443317890167
rank_2,58944,0.7874504327774048
rank_4,111744,0.7567847967147827
rank_8,217344,0.7085059881210327
rank_16,428544,0.6753700375556946
rank_32,850944,0.6177771389484406
rank_64,1695744,0.5736593306064606
rank_128,3385344,0.548551619052887
rank_16_top_100,1042944,0.6058995425701141
rank_16_top_500,3500544,0.5561633706092834
rank_32_top_100,1465344,0.5648759305477142
rank_32_top_500,3922944,0.5337072610855103
rank_32_top_1000,6994944,0.5260698795318604
rank_64_top_100,2310144,0.5271483361721039
rank_64_top_500,4767744,0.5128699243068695
